carid,brand,serial,model,mileage,color,cityId,carCode,transferCount,seatings,country,maketype,modelyear,displacement,gearbox,oiltype,newprice,price,trans_category,tradeTime_year,tradeTime_month,tradeTime_day,registerDate_year,registerDate_month,registerDate_day,licenseDate_year,licenseDate_month,licenseDate_day,car_category
21291,11,205,4658,5.1,1,10,1.0,2,5,779412.0,2.0,2016.0,2.0,7.0,1,3.3068867021909143,2.7837759116303458,0.0,2021,5,9,2016,3,1,2016,4,20,0.0
28684,20,141,5843,8.64,2,5,2.0,2,7,779412.0,3.0,2014.0,3.0,15.0,3,4.6520537718869415,3.495901317131453,0.0,2021,5,9,2012,2,1,2013,3,8,1.0
70473,9,111,12143,7.81,2,8,1.0,0,5,779413.0,1.0,2015.0,1.5,3.0,1,2.6864860231863696,2.0769384114617173,0.0,2020,11,17,2016,3,1,2016,4,28,0.0
39587,26,1048,7508,6.08,2,19,1.0,0,5,779413.0,1.0,2017.0,1.0,18.0,2,3.0530573401732606,2.2512917986064953,0.0,2021,1,27,2018,11,1,2019,2,23,0.0
56009,2,437,1179,8.16,2,1,2.0,1,8,779415.0,2.0,2015.0,4.0,21.0,1,3.912023005428146,3.8628327612373745,0.0,2021,7,25,2011,9,1,2012,3,21,1.0
19721,18,136,1116,2.08,1,8,1.0,1,5,779412.0,2.0,2018.0,1.5,3.0,1,3.4461707473048864,3.130263166511597,0.0,2020,8,13,2018,9,1,2019,3,8,0.0
13280,11,238,3343,13.63,2,1,2.0,1,5,779412.0,2.0,2013.0,2.0,13.0,1,3.7787201581137255,2.866761892257031,0.0,2021,3,30,2013,10,1,2013,10,23,0.0
22724,3,137,1290,7.62,1,7,2.0,0,5,779416.0,2.0,2013.0,1.8,17.0,1,2.528125768907977,1.7191887763932197,0.0,2020,7,14,2014,12,1,2015,1,19,0.0
41583,50,180,7859,8.09,4,1,2.0,0,5,779415.0,3.0,2013.0,2.5,5.0,1,3.3666059368925363,2.468099531471619,0.0,2020,7,11,2013,3,1,2013,4,26,0.0
44295,27,481,8261,0.47,4,13,4.0,0,5,779412.0,2.0,2020.0,2.0,19.0,1,3.6908774567766094,3.4339872044851463,0.0,2020,12,7,2019,10,1,2020,1,3,1.0
23655,66,312,1195,7.09,1,8,1.0,0,5,779416.0,2.0,2017.0,2.0,13.0,1,3.4137844971676268,2.900322088749333,0.0,2020,6,14,2017,5,1,2017,7,20,0.0
2295,48,157,247,11.38,6,4,1.0,0,5,779414.0,2.0,2014.0,1.6,3.0,1,3.177637076851603,2.2159372862683733,0.0,2021,4,21,2015,3,1,2015,6,16,0.0
23641,66,312,1195,4.42,1,3,1.0,1,5,779416.0,2.0,2017.0,2.0,13.0,1,3.4137844971676268,2.8791984572980396,0.0,2021,7,19,2017,8,1,2017,9,14,0.0
70696,18,33,12178,8.4,1,15,1.0,0,5,779412.0,2.0,2016.0,2.0,13.0,1,3.786006164844659,3.1986731175506815,0.0,2020,1,10,2016,2,1,2016,5,31,0.0
14897,33,119,3570,5.7,1,17,1.0,0,5,779414.0,2.0,2014.0,1.6,17.0,1,2.532902848056256,1.7047480922384253,0.0,2021,3,3,2016,1,1,2016,10,9,0.0
69668,54,195,12041,3.22,1,1,1.0,0,7,779415.0,3.0,2019.0,3.0,21.0,1,3.7130841428107537,3.56953269648137,0.0,2021,6,11,2018,10,1,2019,6,25,1.0
10247,3,3,2820,4.52,2,4,1.0,0,7,779416.0,2.0,2018.0,2.0,3.0,1,3.4333418349887226,3.038791763014438,0.0,2021,1,4,2018,7,1,2018,9,19,0.0
44947,8,208,8368,0.21,1,1,4.0,1,5,779412.0,2.0,2020.0,1.4,31.0,1,2.8633430855082453,2.70805020110221,0.0,2020,11,4,2019,10,1,2019,12,20,0.0
40177,11,103,7649,12.71,4,7,2.0,1,5,779412.0,3.0,2012.0,1.4,31.0,1,3.3250360206965914,2.180417459019838,0.0,2020,12,13,2012,6,1,2012,8,27,0.0
65193,20,127,11430,6.19,3,1,1.0,0,5,779412.0,2.0,2017.0,1.6,15.0,1,3.5139306516493947,3.1354942159291497,0.0,2020,11,21,2017,1,1,2017,4,1,0.0
22864,18,441,4927,5.89,6,1,2.0,1,5,779412.0,3.0,2012.0,2.0,3.0,1,3.629660094453965,2.5649493574615367,0.0,2021,3,11,2013,6,1,2014,1,6,0.0
14186,22,309,3464,3.18,4,7,1.0,0,5,779413.0,1.0,2017.0,1.5,4.0,1,2.3960754360813845,1.9430489167742813,0.0,2021,4,8,2017,9,1,2017,12,14,0.0
35635,18,510,6926,17.8,3,21,3.0,1,5,779412.0,3.0,2005.0,3.0,3.0,1,4.603769205072463,2.028148247292285,0.0,2020,7,20,2006,2,1,2006,4,28,0.0
13862,23,68,441,7.23,4,1,2.0,1,5,779419.0,2.0,2011.0,1.6,4.0,1,2.5710843460290524,1.5151272329628591,0.0,2020,6,7,2012,3,1,2012,4,1,0.0
24172,20,127,929,4.52,2,1,1.0,0,5,779412.0,2.0,2016.0,1.6,15.0,1,3.5139306516493947,3.100092288878234,0.0,2020,6,3,2016,7,1,2016,8,18,0.0
58067,5,159,207,7.4,6,4,2.0,0,5,779416.0,2.0,2013.0,1.6,3.0,1,2.7893229212309465,1.7544036826842861,0.0,2020,4,23,2014,2,1,2014,3,20,0.0
30286,11,103,6075,6.72,1,1,2.0,0,5,779412.0,3.0,2014.0,1.8,23.0,1,3.3666059368925363,2.468099531471619,0.0,2021,6,7,2013,11,1,2014,6,12,0.0
24082,27,385,5084,3.52,3,7,1.0,1,5,779412.0,2.0,2018.0,2.0,13.0,1,4.186619838331271,3.886908253749606,0.0,2020,12,4,2018,10,1,2019,3,1,1.0
18707,109,882,4205,3.6,3,1,2.0,0,5,779417.0,3.0,2014.0,3.0,13.0,1,4.508659285607248,4.00514898341763,0.0,2021,6,5,2014,5,1,2015,4,28,2.0
37185,15,22,7139,8.4,2,5,1.0,1,5,779413.0,1.0,2016.0,1.5,16.0,1,2.6658383522929006,2.0149030205422647,0.0,2021,6,15,2016,6,1,2016,7,1,0.0
2154,8,135,171,2.35,1,3,1.0,0,5,779412.0,2.0,2016.0,1.6,9.0,1,2.432735777459091,2.1041341542702074,0.0,2021,1,14,2017,4,1,2017,5,10,0.0
19459,8,219,4341,18.62,7,14,2.0,0,5,779412.0,2.0,2011.0,1.4,6.0,1,2.733067964077498,1.33500106673234,0.0,2020,6,12,2011,5,1,2011,6,28,0.0
36005,61,348,6955,0.6,1,3,1.0,0,5,779412.0,1.0,2017.0,2.0,31.0,1,2.989714201228428,2.6390573296152584,0.0,2020,3,29,2018,1,1,2018,3,19,0.0
40898,84,422,7748,7.28,2,4,1.0,1,7,779413.0,1.0,2017.0,1.5,12.0,1,2.301584592660462,1.840549633397487,0.0,2021,1,30,2018,4,1,2018,5,11,0.0
49260,11,63,9021,3.53,1,1,4.0,1,5,779412.0,2.0,2019.0,2.0,31.0,1,3.5432754802551445,3.2573270112424533,0.0,2020,11,18,2019,4,1,2019,4,26,0.0
67106,3,140,181,5.55,1,8,1.0,0,5,779416.0,2.0,2017.0,1.5,3.0,1,2.4664031782234406,1.9430489167742813,0.0,2020,8,18,2017,9,1,2017,11,20,0.0
38170,66,312,1300,8.86,4,19,1.0,0,5,779416.0,2.0,2014.0,2.0,3.0,1,3.3971893602646164,2.6864860231863696,0.0,2021,6,13,2015,7,1,2016,9,13,0.0
