carid,brand,serial,model,mileage,color,cityId,carCode,transferCount,seatings,country,maketype,modelyear,displacement,gearbox,oiltype,newprice,price,trans_category,tradeTime_year,tradeTime_month,tradeTime_day,registerDate_year,registerDate_month,registerDate_day,licenseDate_year,licenseDate_month,licenseDate_day,car_category
6,6,6,6,6.04,1,3,1.0,3,5,779413.0,1.0,2016.0,1.3,2.0,1,2.3504224224082058,1.682688374173693,1.0,2021,6,29,2016,8,1,2016,9,9,0.0
10,2,10,10,13.02,1,2,3.0,1,5,779415.0,2.0,2006.0,1.5,4.0,1,2.505525936990736,0.9122827104766162,1.0,2021,6,8,2006,10,1,2006,11,27,0.0
14,8,14,14,16.27,4,1,2.0,0,5,779412.0,2.0,2006.0,2.0,3.0,1,2.8892600290434745,0.7793248768009976,1.0,2021,7,30,2007,7,1,2007,7,17,0.0
18,13,18,18,5.45,1,2,1.0,0,5,779416.0,2.0,2017.0,1.5,3.0,1,2.6939512767227085,1.7884205679625405,1.0,2021,5,30,2015,9,1,2016,11,11,0.0
22,12,21,22,4.65,3,1,1.0,0,5,779415.0,2.0,2016.0,1.5,11.0,1,2.259677591982769,2.0149030205422647,1.0,2021,6,12,2016,9,1,2016,9,26,0.0
24,15,22,24,8.11,6,5,1.0,0,5,779413.0,1.0,2016.0,1.5,6.0,1,2.5937610547000824,1.7578579175523736,1.0,2021,7,16,2016,6,1,2016,7,1,0.0
31,21,28,31,9.56,7,2,2.0,0,5,779413.0,1.0,2009.0,1.0,6.0,1,1.7369512327330598,0.09531017980432487,1.0,2021,6,2,2010,9,1,2010,11,24,0.0
34,5,31,34,6.68,3,1,1.0,0,7,779416.0,2.0,2014.0,2.4,3.0,1,3.086486636822455,2.4553061800117097,1.0,2021,6,8,2016,12,1,2017,2,7,0.0
51,8,16,50,12.43,5,3,2.0,0,5,779412.0,2.0,2012.0,1.6,6.0,1,2.5556757206762075,1.5040773967762742,1.0,2021,6,6,2012,5,1,2012,6,13,0.0
57,19,50,56,14.71,2,1,2.0,0,5,779413.0,1.0,2012.0,1.5,6.0,1,2.2491843162669305,0.9707789171582248,1.0,2021,6,1,2013,5,1,2013,6,7,0.0
