carid,brand,serial,model,mileage,color,cityId,carCode,transferCount,seatings,country,maketype,modelyear,displacement,gearbox,oiltype,newprice,price,trans_category,tradeTime_year,tradeTime_month,tradeTime_day,registerDate_year,registerDate_month,registerDate_day,licenseDate_year,licenseDate_month,licenseDate_day,car_category
12,10,12,12,7.03,5,3,2.0,0,5,779413.0,1.0,2010.0,1.0,6.0,1,1.6448050562713916,0.262364264467491,7.0,2021,6,16,2011,10,1,2012,3,13,0.0
23,1,1,23,5.29,1,2,1.0,0,5,779413.0,1.0,2017.0,1.5,1.0,1,2.149433913499871,1.6389967146756448,7.0,2021,7,28,2017,11,1,2017,12,19,0.0
40,24,36,40,0.83,1,1,4.0,1,5,779413.0,1.0,2019.0,2.4,12.0,1,2.5087859235779435,1.9459101490553132,7.0,2021,6,10,2018,10,1,2019,12,25,0.0
41,16,37,41,2.44,3,2,1.0,0,5,779415.0,2.0,2018.0,2.0,3.0,1,2.8892600290434745,2.3513752571634776,7.0,2021,6,26,2018,12,1,2019,4,19,0.0
50,18,45,49,9.29,6,3,1.0,0,5,779412.0,3.0,2015.0,2.0,13.0,1,3.8437441646748516,3.1945831322991562,7.0,2021,6,29,2016,4,1,2016,8,17,0.0
75,15,65,73,1.08,2,3,4.0,0,5,779412.0,2.0,2021.0,1.5,3.0,1,2.7523860149222616,2.5416019934645457,7.0,2021,6,22,2021,1,1,2021,3,16,0.0
78,11,63,76,6.18,1,1,1.0,0,5,779412.0,2.0,2018.0,2.0,7.0,1,3.456316680883235,2.975529566236472,7.0,2021,7,10,2018,5,1,2018,7,18,0.0
105,8,8,103,2.52,1,3,1.0,0,5,779412.0,2.0,2019.0,1.5,6.0,1,2.2491843162669305,1.8365734850178477,7.0,2021,5,29,2019,1,1,2019,2,1,0.0
108,1,1,23,6.42,1,3,1.0,1,5,779413.0,1.0,2017.0,1.5,1.0,1,2.149433913499871,1.7404661748405046,7.0,2021,7,13,2017,12,1,2018,1,19,0.0
112,28,87,108,8.61,2,1,1.0,0,5,779419.0,2.0,2016.0,2.0,3.0,1,2.8320361808832013,2.2192034840549946,7.0,2021,7,4,2016,11,1,2018,1,4,0.0
185,8,101,180,5.26,5,2,1.0,0,5,779412.0,2.0,2018.0,1.8,7.0,1,3.1350593387750902,2.72785282839839,7.0,2021,7,29,2018,3,1,2018,5,29,0.0
217,33,162,211,7.61,5,1,2.0,0,5,779414.0,2.0,2010.0,1.6,6.0,1,2.330200260027019,0.9162907318741551,7.0,2021,4,11,2011,3,1,2011,4,11,0.0
218,38,117,212,3.73,1,3,1.0,0,5,779421.0,3.0,2016.0,1.4,16.0,1,2.9433857931817817,2.33214389523559,7.0,2021,7,10,2016,12,1,2018,2,7,0.0
229,7,166,223,9.81,2,3,1.0,1,5,779415.0,2.0,2016.0,2.0,11.0,1,2.9796028916241073,2.4570214462984645,7.0,2021,6,23,2016,9,1,2016,11,15,0.0
245,33,119,238,4.15,5,2,1.0,0,5,779414.0,2.0,2018.0,1.6,3.0,1,2.6224923127405635,1.9740810260220096,7.0,2021,6,29,2018,1,1,2018,6,25,0.0
249,8,14,242,5.27,1,3,1.0,0,5,779412.0,2.0,2018.0,1.4,16.0,1,2.8553201198372458,2.3960754360813845,7.0,2021,5,17,2019,4,1,2019,5,28,0.0
264,18,136,255,4.23,6,5,4.0,0,5,779412.0,2.0,2019.0,2.0,13.0,1,3.4651107074058083,3.068052935133617,7.0,2021,7,13,2018,11,1,2019,1,7,0.0
266,5,67,257,7.82,1,3,2.0,0,5,779416.0,2.0,2015.0,2.0,3.0,1,2.9386326815134183,2.1424163408412245,7.0,2021,4,14,2015,2,1,2015,5,12,0.0
294,7,113,284,8.46,2,3,2.0,0,5,779415.0,2.0,2014.0,1.6,11.0,1,2.6932749155200555,1.9851308622085946,7.0,2021,5,15,2014,4,1,2014,5,22,0.0
332,2,82,317,4.53,1,3,1.0,0,5,779415.0,2.0,2018.0,2.5,13.0,1,3.1346242724206097,2.954910279033736,7.0,2021,6,23,2018,5,1,2018,7,20,0.0
335,8,208,319,7.84,1,3,1.0,0,5,779412.0,2.0,2016.0,1.6,3.0,1,2.6665335208992764,2.145931282948669,7.0,2021,7,11,2016,4,1,2016,5,25,0.0
368,5,90,347,0.75,3,3,4.0,0,5,779412.0,2.0,2021.0,2.0,19.0,1,3.2180755046974316,2.917770732084279,7.0,2021,7,13,2020,7,1,2020,11,30,0.0
373,25,41,352,1.34,1,3,2.0,0,5,779413.0,1.0,2016.0,1.8,3.0,1,2.637627736805664,2.0541237336955462,7.0,2021,5,13,2017,3,1,2017,5,3,0.0
401,12,240,379,15.95,4,5,2.0,1,5,779415.0,2.0,2008.0,1.5,22.0,1,2.5400259490090797,1.3937663759585914,7.0,2021,7,28,2009,10,1,2009,12,8,0.0
415,2,82,317,4.07,5,2,1.0,0,5,779415.0,2.0,2018.0,2.5,13.0,1,3.1346242724206097,2.9601050959108397,7.0,2021,7,29,2018,12,1,2019,3,7,0.0
