carid,brand,serial,model,mileage,color,cityId,carCode,transferCount,seatings,country,maketype,modelyear,displacement,gearbox,oiltype,newprice,price,trans_category,tradeTime_year,tradeTime_month,tradeTime_day,registerDate_year,registerDate_month,registerDate_day,licenseDate_year,licenseDate_month,licenseDate_day,car_category
7,7,7,7,5.7,4,1,2.0,2,5,779415.0,2.0,2012.0,2.0,5.0,1,2.9486406660201405,1.9315214116032138,3.0,2021,6,30,2012,8,1,2012,8,28,0.0
13,6,13,13,4.64,1,3,1.0,0,5,779413.0,1.0,2018.0,1.4,2.0,1,2.3683728335320486,1.9387416595767009,3.0,2021,7,17,2018,11,1,2018,12,25,0.0
32,22,29,32,1.25,1,3,1.0,0,5,779413.0,1.0,2017.0,1.5,16.0,1,2.4664031782234406,2.0476928433652555,3.0,2021,7,18,2018,8,1,2018,9,18,0.0
74,16,64,72,3.28,4,1,2.0,1,5,779415.0,3.0,2015.0,2.5,3.0,1,3.2418107961506966,2.451005098112319,3.0,2021,7,13,2015,10,1,2015,12,16,0.0
88,12,71,86,6.39,3,2,1.0,0,5,779415.0,2.0,2016.0,1.5,11.0,1,2.7073833121145063,2.4765384001174837,3.0,2021,6,26,2018,7,1,2018,9,6,0.0
106,37,84,104,2.7,1,1,1.0,0,2,779412.0,2.0,2020.0,1.5,10.0,1,2.4840729690394228,1.6486586255873816,3.0,2021,7,25,2019,9,1,2019,10,16,0.0
124,12,99,120,1.27,1,3,4.0,1,5,779415.0,2.0,2019.0,1.5,11.0,1,2.7466296830696852,2.5649493574615367,3.0,2021,7,2,2020,4,1,2020,4,27,0.0
148,42,107,144,0.71,2,1,4.0,0,5,779412.0,2.0,2020.0,4.0,13.0,1,5.220355825078324,5.351858133476067,3.0,2021,7,5,2020,11,1,2021,6,15,2.0
149,38,117,145,4.1,6,3,1.0,0,5,779421.0,3.0,2018.0,1.8,7.0,1,2.9947317732204075,2.5416019934645457,3.0,2021,5,20,2018,1,1,2018,4,19,0.0
151,4,4,147,3.67,9,3,1.0,0,4,779411.0,3.0,2016.0,1.5,3.0,1,3.1937631240531252,2.8495497633759097,3.0,2021,4,14,2017,2,1,2017,6,8,0.0
156,28,121,152,0.92,4,1,1.0,0,5,779419.0,2.0,2017.0,1.4,4.0,1,2.127040520479115,1.62924053973028,3.0,2021,7,3,2017,9,1,2017,11,10,0.0
