carid,brand,serial,model,mileage,color,cityId,carCode,transferCount,seatings,country,maketype,modelyear,displacement,gearbox,oiltype,newprice,price,trans_category,tradeTime_year,tradeTime_month,tradeTime_day,registerDate_year,registerDate_month,registerDate_day,licenseDate_year,licenseDate_month,licenseDate_day,car_category
94,25,60,92,7.97,1,1,1.0,1,5,779413.0,1.0,2017.0,1.6,17.0,1,2.1736147116970854,1.8718021769015913,2.0,2021,6,12,2018,1,1,2018,2,22,0.0
132,33,104,128,11.43,6,1,2.0,1,5,779414.0,2.0,2013.0,1.6,3.0,1,3.112181086197238,1.9315214116032138,2.0,2021,7,22,2014,4,1,2014,5,14,0.0
144,2,114,140,1.08,3,1,1.0,0,4,779415.0,3.0,2014.0,5.7,3.0,1,3.912023005428146,3.8110970868381857,2.0,2021,6,8,2019,4,1,2019,10,10,1.0
179,23,56,174,5.45,1,2,1.0,0,5,779419.0,2.0,2017.0,1.6,16.0,1,2.8892600290434745,2.3646204839134985,2.0,2021,5,23,2017,6,1,2018,2,6,0.0
198,5,148,192,2.41,1,1,1.0,0,5,779416.0,2.0,2017.0,1.4,3.0,1,2.771963526845863,1.9740810260220096,2.0,2021,7,7,2017,8,1,2017,10,12,0.0
248,20,127,241,12.18,5,2,1.0,1,5,779412.0,2.0,2015.0,2.0,15.0,1,3.634951112088381,2.9381031607173544,2.0,2021,6,27,2014,10,1,2014,10,30,0.0
267,26,72,258,3.48,4,3,1.0,0,5,779413.0,1.0,2016.0,1.5,16.0,1,2.7650604558189897,2.0624225365102413,2.0,2021,5,12,2016,9,1,2016,10,13,0.0
268,50,180,259,5.54,1,1,2.0,0,5,779415.0,3.0,2013.0,2.5,5.0,1,3.426865128410733,2.4595888418037104,2.0,2021,4,20,2013,5,1,2013,7,4,0.0
275,25,60,266,3.52,6,1,2.0,0,5,779413.0,1.0,2016.0,1.6,17.0,1,2.340843805111136,1.724550719534605,2.0,2021,5,21,2016,9,1,2016,11,17,0.0
295,28,192,285,1.18,1,2,4.0,0,5,779419.0,2.0,2019.0,1.4,3.0,1,2.194999882314108,1.9459101490553132,2.0,2021,7,10,2019,5,1,2020,1,21,0.0
303,23,198,292,4.48,1,1,1.0,1,5,779419.0,2.0,2015.0,1.6,16.0,1,3.019448800171307,2.302585092994046,2.0,2021,6,30,2016,3,1,2016,12,20,0.0
319,18,175,306,4.37,5,1,1.0,0,5,779412.0,2.0,2014.0,2.0,13.0,1,3.931041011263908,3.3141860046725258,2.0,2021,7,28,2015,5,1,2015,8,7,1.0
326,23,156,222,5.68,1,2,1.0,1,5,779419.0,2.0,2014.0,1.4,4.0,1,2.2710944259026746,1.62924053973028,2.0,2021,6,24,2015,12,1,2016,3,10,0.0
331,3,210,316,10.33,1,1,2.0,0,5,779416.0,2.0,2011.0,2.0,23.0,1,3.26880819361641,1.7749523509116738,2.0,2021,6,9,2012,12,1,2013,3,1,0.0
351,7,166,333,11.2,2,1,2.0,1,5,779415.0,2.0,2008.0,2.5,5.0,1,3.1561489949598958,1.8547342683894434,2.0,2021,5,11,2009,7,1,2009,7,28,0.0
369,12,224,348,1.87,2,2,4.0,0,7,779415.0,2.0,2019.0,2.0,25.0,2,3.4651107074058083,3.3178157727231046,2.0,2021,7,25,2020,8,1,2020,9,21,1.0
381,13,18,360,9.88,1,1,2.0,1,5,779416.0,2.0,2013.0,1.6,6.0,1,2.5641798306825083,1.220829921392359,2.0,2021,4,29,2013,11,1,2013,11,22,0.0
387,33,120,366,10.25,1,2,1.0,0,5,779414.0,2.0,2015.0,1.2,3.0,1,2.783157673589016,1.916922612182061,2.0,2021,7,11,2016,1,1,2016,3,3,0.0
433,5,148,409,4.94,1,3,1.0,1,5,779416.0,2.0,2015.0,1.4,3.0,1,2.884241897520628,1.9286186519452522,2.0,2021,5,26,2014,9,1,2014,12,22,0.0
447,8,135,423,3.52,1,1,1.0,0,5,779412.0,2.0,2016.0,1.4,6.0,1,2.150598735996164,1.7047480922384253,2.0,2021,4,7,2016,3,1,2016,4,20,0.0
496,9,144,468,6.58,5,5,1.0,0,7,779413.0,1.0,2016.0,2.0,3.0,1,3.2573270112424533,2.681021528714291,2.0,2021,6,26,2017,4,1,2017,4,21,0.0
500,3,276,472,2.55,3,1,1.0,2,4,779416.0,3.0,2017.0,2.3,3.0,1,3.7057365711803594,3.3843902633457743,2.0,2021,7,31,2017,8,1,2018,5,11,1.0
514,68,271,461,2.48,1,1,1.0,0,5,0.0,1.0,2016.0,2.3,3.0,1,2.8892600290434745,2.3978952727983707,2.0,2021,5,27,2017,8,1,2019,1,15,0.0
540,63,254,507,6.96,6,1,1.0,0,5,779413.0,1.0,2015.0,1.8,3.0,1,2.8892600290434745,1.4816045409242156,2.0,2021,7,7,2015,7,1,2016,1,21,0.0
