carid,brand,serial,model,mileage,color,cityId,carCode,transferCount,seatings,country,maketype,modelyear,displacement,gearbox,oiltype,newprice,price,trans_category,tradeTime_year,tradeTime_month,tradeTime_day,registerDate_year,registerDate_month,registerDate_day,licenseDate_year,licenseDate_month,licenseDate_day,car_category
55,5,31,54,3.24,5,3,4.0,0,7,779416.0,2.0,2018.0,2.0,3.0,1,3.26918863874179,3.1135153092103742,5.0,2021,4,28,2019,5,1,2019,6,25,0.0
159,32,123,155,2.45,1,3,2.0,0,5,779415.0,2.0,2013.0,1.0,4.0,1,1.944480556245719,1.33500106673234,5.0,2021,5,9,2014,5,1,2014,11,24,0.0
186,23,56,82,10.22,1,5,1.0,0,5,779419.0,2.0,2014.0,1.8,3.0,1,2.8320361808832013,1.9740810260220096,5.0,2021,6,17,2014,9,1,2014,10,13,0.0
195,17,147,189,2.26,1,3,1.0,0,5,779413.0,1.0,2018.0,1.5,6.0,1,2.0781907597781832,1.5432981099295553,5.0,2021,5,29,2017,12,1,2018,10,17,0.0
350,12,92,332,6.2,1,3,1.0,0,5,779415.0,2.0,2014.0,2.0,11.0,1,3.0763901765714454,2.4849066497880004,5.0,2021,6,1,2013,10,1,2013,12,2,0.0
419,12,71,86,6.47,1,3,1.0,1,5,779415.0,2.0,2016.0,1.5,11.0,1,2.7073833121145063,2.47232786758114,5.0,2021,4,16,2017,1,1,2017,1,18,0.0
450,8,11,426,11.94,2,1,1.0,1,5,779412.0,2.0,2016.0,1.8,7.0,1,3.234355395716587,2.5649493574615367,5.0,2021,7,13,2016,3,1,2016,6,6,0.0
477,18,25,449,1.4,3,1,1.0,0,5,779412.0,3.0,2018.0,2.0,13.0,1,3.7607348912143643,3.349904087274605,5.0,2021,7,26,2018,5,1,2018,12,12,1.0
511,12,53,483,5.82,5,1,2.0,0,5,779415.0,2.0,2008.0,2.0,22.0,1,3.0339909856710814,1.791759469228055,5.0,2021,7,28,2009,3,1,2009,4,27,0.0
647,7,182,602,4.8,5,2,1.0,0,5,779415.0,2.0,2017.0,1.5,6.0,1,2.194999882314108,1.4586150226995167,5.0,2021,7,11,2017,5,1,2017,11,3,0.0
684,2,285,635,6.24,4,1,2.0,0,5,779415.0,2.0,2008.0,2.5,3.0,1,3.22207071576472,2.0794415416798357,5.0,2021,6,28,2009,10,1,2009,10,27,0.0
838,11,15,769,3.28,2,5,1.0,1,5,779412.0,2.0,2020.0,2.0,7.0,1,3.8062179465311696,3.6054978451748854,5.0,2021,7,13,2020,5,1,2020,5,22,1.0
