carid,brand,serial,model,mileage,color,cityId,carCode,transferCount,seatings,country,maketype,modelyear,displacement,gearbox,oiltype,newprice,price,trans_category,tradeTime_year,tradeTime_month,tradeTime_day,registerDate_year,registerDate_month,registerDate_day,licenseDate_year,licenseDate_month,licenseDate_day,car_category
104,8,83,102,3.98,1,3,1.0,0,5,779412.0,2.0,2018.0,1.8,16.0,1,3.327909585892323,2.913154689126674,6.0,2021,5,27,2017,11,1,2018,2,9,0.0
157,25,122,153,4.98,1,3,2.0,0,5,779413.0,1.0,2014.0,1.4,6.0,1,1.958685340544036,1.208960345836975,6.0,2021,5,29,2015,6,1,2015,12,7,0.0
172,2,134,168,6.03,1,3,1.0,0,5,779415.0,2.0,2016.0,1.6,2.0,1,2.601207105484161,2.0769384114617173,6.0,2021,5,4,2015,11,1,2015,12,15,0.0
202,12,92,196,4.82,2,3,1.0,0,5,779415.0,2.0,2018.0,1.5,11.0,1,2.9947317732204075,2.803360380906535,6.0,2021,5,29,2018,7,1,2018,9,7,0.0
240,12,71,233,9.43,5,3,2.0,0,5,779415.0,2.0,2012.0,1.8,22.0,1,2.7067159780890733,1.8687205103641833,6.0,2021,6,10,2012,6,1,2012,7,13,0.0
506,20,118,478,7.89,2,1,1.0,0,5,779412.0,2.0,2018.0,2.0,19.0,1,4.075841090657541,3.56953269648137,6.0,2021,6,1,2017,11,1,2018,4,18,1.0
640,28,78,596,8.1,1,5,1.0,0,5,779419.0,2.0,2016.0,1.6,12.0,1,2.3683728335320486,1.62924053973028,6.0,2021,7,18,2016,11,1,2017,1,16,0.0
662,5,159,615,11.45,1,3,2.0,0,5,779416.0,2.0,2015.0,1.5,3.0,1,2.5641798306825083,1.713797927758343,6.0,2021,7,6,2015,9,1,2015,10,22,0.0
785,5,67,726,3.18,1,2,1.0,0,5,779416.0,2.0,2019.0,1.5,19.0,1,2.9590682891823996,2.4849066497880004,6.0,2021,7,29,2018,12,1,2019,1,25,0.0
834,30,347,765,13.52,6,1,2.0,0,5,779418.0,2.0,2012.0,3.0,3.0,1,4.056988775678332,2.451005098112319,6.0,2021,5,31,2011,11,1,2012,4,26,0.0
835,61,348,766,3.88,3,2,1.0,0,5,779412.0,1.0,2019.0,2.0,7.0,1,2.989714201228428,2.580216829592325,6.0,2021,6,14,2019,3,1,2019,7,12,0.0
921,44,124,832,7.83,1,2,1.0,0,5,779416.0,2.0,2017.0,1.4,16.0,1,2.7713379403381286,2.169053700369523,6.0,2021,6,18,2017,3,1,2018,1,4,0.0
977,23,56,882,5.62,1,3,1.0,0,5,779419.0,2.0,2017.0,1.8,3.0,1,2.7713379403381286,2.2027647577118348,6.0,2021,5,7,2017,7,1,2017,9,1,0.0
1023,3,133,167,5.61,1,1,1.0,0,5,779416.0,2.0,2017.0,1.5,3.0,1,3.0096351787229825,2.4336133554004498,6.0,2021,7,1,2017,11,1,2017,12,22,0.0
1046,12,99,934,1.96,2,3,4.0,0,5,779415.0,2.0,2020.0,1.5,11.0,1,2.7073833121145063,2.545531271604435,6.0,2021,7,11,2020,9,1,2020,9,14,0.0
1441,9,183,1229,8.34,1,2,1.0,0,5,779413.0,1.0,2014.0,1.5,12.0,1,2.431857428698185,1.33500106673234,6.0,2021,7,9,2014,10,1,2014,11,13,0.0
1521,3,434,1285,2.16,4,1,1.0,0,5,779416.0,2.0,2018.0,1.5,9.0,1,2.449279472144849,1.9344157696295783,6.0,2021,6,15,2017,11,1,2017,12,8,0.0
1825,5,159,782,4.05,1,20,1.0,0,5,779416.0,2.0,2017.0,1.5,3.0,1,2.6166656393003573,1.9878743481543455,6.0,2021,1,12,2017,1,1,2017,3,15,0.0
2040,2,363,1439,0.93,2,1,1.0,1,5,779415.0,2.0,2018.0,2.0,30.0,1,2.8081971497071487,2.681021528714291,6.0,2021,6,12,2019,1,1,2019,3,6,0.0
2127,8,135,171,5.07,1,7,2.0,0,5,779412.0,2.0,2016.0,1.6,9.0,1,2.432735777459091,2.0255131996542803,6.0,2021,1,28,2016,4,1,2016,5,20,0.0
2505,13,507,1497,3.83,5,1,1.0,0,7,779416.0,2.0,2018.0,1.3,3.0,1,2.771963526845863,2.302585092994046,6.0,2021,3,21,2018,10,1,2019,7,1,0.0
3476,5,67,1664,3.57,1,7,1.0,0,5,779416.0,2.0,2017.0,1.5,19.0,1,3.043569602968151,2.5556757206762075,6.0,2021,2,3,2016,8,1,2017,12,29,0.0
3753,8,14,1708,4.52,5,7,1.0,0,5,779412.0,2.0,2015.0,1.4,16.0,1,2.837908188360424,2.194999882314108,6.0,2021,6,22,2015,6,1,2015,9,25,0.0
3880,11,186,1726,3.37,1,1,2.0,1,5,779412.0,2.0,2014.0,1.4,31.0,1,3.2534704696327,2.468099531471619,6.0,2020,7,4,2014,11,1,2015,1,26,0.0
