carid,brand,serial,model,mileage,color,cityId,carCode,transferCount,seatings,country,maketype,modelyear,displacement,gearbox,oiltype,newprice,price,trans_category,tradeTime_year,tradeTime_month,tradeTime_day,registerDate_year,registerDate_month,registerDate_day,licenseDate_year,licenseDate_month,licenseDate_day,car_category
2,2,2,2,8.6,1,2,1.0,0,5,779415.0,2.0,2017.0,1.2,2.0,1,2.563409711275944,2.1258479144939915,4.0,2021,6,25,2016,12,1,2017,3,21,0.0
102,2,82,100,15.1,5,2,2.0,1,5,779415.0,2.0,2008.0,2.4,21.0,1,3.1561489949598958,1.9459101490553132,4.0,2021,5,11,2008,4,1,2008,6,4,0.0
180,6,91,175,6.46,7,5,1.0,1,5,779413.0,1.0,2018.0,1.8,10.0,1,2.3683728335320486,1.864080130807681,4.0,2021,7,13,2017,12,1,2018,1,25,0.0
204,8,16,198,9.05,5,1,1.0,0,5,779412.0,2.0,2016.0,1.4,16.0,1,2.7960610784249234,2.0412203288596382,4.0,2021,4,16,2016,3,1,2016,9,27,0.0
220,8,163,214,4.84,3,3,1.0,3,7,779412.0,2.0,2018.0,1.4,16.0,1,3.019448800171307,2.6490076604684267,4.0,2021,4,17,2017,8,1,2018,2,1,0.0
279,2,187,270,14.69,5,4,3.0,0,5,779415.0,2.0,2009.0,2.4,6.0,1,3.205993199037187,1.766441661243765,4.0,2021,7,31,2009,4,1,2009,5,20,0.0
392,25,235,371,5.62,4,2,1.0,0,5,779413.0,1.0,2016.0,1.5,6.0,1,1.944480556245719,1.2237754316221157,4.0,2021,7,4,2016,10,1,2017,2,8,0.0
460,8,39,434,7.75,1,1,2.0,1,5,779412.0,2.0,2012.0,1.8,3.0,1,3.3386125064705343,2.2300144001592104,4.0,2021,7,13,2012,11,1,2012,12,10,0.0
488,23,270,460,14.96,5,1,2.0,2,5,779419.0,2.0,2012.0,2.0,3.0,1,3.1170645587215158,1.8946168546677629,4.0,2021,6,22,2013,5,1,2013,5,17,0.0
530,12,129,499,2.79,2,3,2.0,0,5,779415.0,2.0,2016.0,1.8,11.0,1,2.6727683869575705,2.2512917986064953,4.0,2021,6,6,2017,11,1,2017,12,18,0.0
556,8,262,522,1.81,1,3,1.0,0,5,779412.0,2.0,2019.0,1.4,16.0,1,2.808800104202353,2.4423470353692043,4.0,2021,3,30,2018,12,1,2019,1,16,0.0
562,5,73,527,5.6,1,3,1.0,0,5,779416.0,2.0,2015.0,1.5,16.0,1,3.202339856228101,2.3978952727983707,4.0,2021,7,3,2015,9,1,2015,11,4,0.0
569,28,100,534,2.8,2,3,4.0,0,5,779419.0,2.0,2019.0,1.4,16.0,1,2.740194654428777,2.431857428698185,4.0,2021,5,7,2019,6,1,2019,7,31,0.0
581,23,56,542,8.07,1,3,1.0,1,5,779419.0,2.0,2016.0,1.8,3.0,1,2.7713379403381286,2.163323025660538,4.0,2021,7,17,2016,4,1,2016,6,1,0.0
621,12,304,579,1.9,2,3,1.0,0,5,779415.0,2.0,2017.0,2.0,19.0,1,3.3666059368925363,3.164630810015805,4.0,2021,7,5,2018,9,1,2018,11,8,0.0
636,25,308,592,1.02,9,2,1.0,0,5,779413.0,1.0,2015.0,1.4,6.0,1,1.7732559976634952,1.1939224684724346,4.0,2021,7,20,2016,6,1,2017,1,11,0.0
766,8,116,142,3.46,1,1,1.0,0,5,779412.0,2.0,2016.0,1.4,16.0,1,2.872999508171694,2.379546134130174,4.0,2021,7,25,2016,12,1,2016,12,27,0.0
