carid,brand,serial,model,mileage,color,cityId,carCode,transferCount,seatings,country,maketype,modelyear,displacement,gearbox,oiltype,newprice,anonymousFeature1,anonymousFeature2,anonymousFeature3,anonymousFeature5,anonymousFeature6,anonymousFeature14,price,tradeTime_year,tradeTime_month,tradeTime_day,registerDate_year,registerDate_month,registerDate_day,length,width,high
1,1,1,1,4.01,1,1,1.0,0,5,779413.0,1.0,2017.0,1.5,1.0,1,6.88,1.0,1,1,1,1,1,4.24,2021,6,28,2017,12,1,4220.0,1740.0,1625.0
2,2,2,2,8.6,1,2,1.0,0,5,779415.0,2.0,2017.0,1.2,2.0,1,11.98,1.0,2,2,2,2,2,7.38,2021,6,25,2016,12,1,4630.0,1775.0,1480.0
5,5,5,5,15.56,1,2,3.0,0,5,779412.0,2.0,2008.0,1.6,4.0,1,12.78,1.0,2,2,5,2,2,1.0,2021,6,19,2008,2,1,4515.0,1725.0,1445.0
6,6,6,6,6.04,1,3,1.0,3,5,779413.0,1.0,2016.0,1.3,2.0,1,9.49,1.0,5,2,6,1,2,4.38,2021,6,29,2016,8,1,4500.0,1834.0,1707.0
7,7,7,7,5.7,4,1,2.0,2,5,779415.0,2.0,2012.0,2.0,5.0,1,18.08,1.0,5,2,7,1,1,5.9,2021,6,30,2012,8,1,4315.0,1783.0,1606.0
10,2,10,10,13.02,1,2,3.0,1,5,779415.0,2.0,2006.0,1.5,4.0,1,11.25,1.0,4,2,2,2,1,1.49,2021,6,8,2006,10,1,4285.0,1690.0,1450.0
12,10,12,12,7.03,5,3,2.0,0,5,779413.0,1.0,2010.0,1.0,6.0,1,4.18,1.0,7,2,11,4,2,0.3,2021,6,16,2011,10,1,4150.0,1640.0,1535.0
13,6,13,13,4.64,1,3,1.0,0,5,779413.0,1.0,2018.0,1.4,2.0,1,9.68,1.0,2,2,6,2,1,5.95,2021,7,17,2018,11,1,4680.0,1785.0,1460.0
14,8,14,14,16.27,4,1,2.0,0,5,779412.0,2.0,2006.0,2.0,3.0,1,16.98,1.0,2,2,8,2,1,1.18,2021,7,30,2007,7,1,4544.0,1760.0,1461.0
18,13,18,18,5.45,1,2,1.0,0,5,779416.0,2.0,2017.0,1.5,3.0,1,13.79,1.0,2,2,14,2,2,4.98,2021,5,30,2015,9,1,4567.0,1786.0,1455.0
20,8,8,20,4.09,1,2,1.0,0,5,779412.0,2.0,2017.0,1.5,9.0,1,9.56,1.0,2,2,8,2,1,5.9,2021,7,31,2018,6,1,4501.0,1704.0,1469.0
22,12,21,22,4.65,3,1,1.0,0,5,779415.0,2.0,2016.0,1.5,11.0,1,8.58,1.0,4,2,16,3,2,6.5,2021,6,12,2016,9,1,4065.0,1695.0,1525.0
23,1,1,23,5.29,1,2,1.0,0,5,779413.0,1.0,2017.0,1.5,1.0,1,7.58,1.0,1,2,1,1,2,4.15,2021,7,28,2017,11,1,4220.0,1740.0,1625.0
