carid,pushDate,pushPrice,updatePriceTimeJson,pullDate,withdrawDate
68603,2021/3/11,3.98,{},2021/3/11,2021/3/11
12312,2021/5/14,4.5,{},2021/6/14,2021/6/14
57655,2021/3/13,23.9,{"2021-04-05": "23"},2021/4/8,2021/4/8
45688,2020/9/1,20.5798,{},2020/9/4,2020/9/4
52081,2021/4/29,12.28,{"2021-05-20": "11.9"},2021/6/21,2021/6/21
6729,2020/12/2,18.5,"{""2020-12-29"": ""17.68"", ""2020-12-30"": ""17.8799"", ""2021-01-15"": ""16.8799""}",2021/1/20,2021/1/20
766,2021/7/25,9.8,{},2021/8/19,2021/8/19
10453,2021/1/29,10.8,{},2021/3/22,2021/3/22
65800,2021/4/1,12.28,{},2021/4/4,2021/4/4
36776,2020/7/16,16.8,{},2020/7/25,2020/7/25
30211,2020/11/1,19.38,"{""2020-11-05"": ""18.98"", ""2020-11-09"": ""18.58""}",2020/11/15,2020/11/15
624,2021/7/20,11.42,{},2021/7/26,2021/7/26
12588,2020/5/9,9.7,{},2020/5/23,2020/5/23
11435,2020/2/15,8.68,{"2020-03-01": "8.6"},2020/6/11,2020/6/11
295,2021/7/10,6,{},2021/7/23,2021/7/23
33761,2020/6/30,11.5,"{""2020-07-05"": ""11.3"", ""2020-07-10"": ""11""}",2020/7/15,2020/7/15
622,2021/7/2,5.8,{},2021/7/4,2021/7/4
35492,2020/12/17,24.8,{},2020/12/25,2020/12/25
69974,2021/4/12,4.5,{"2021-04-16": "3.98"},2021/4/20,2021/4/20
54141,2020/6/9,12,{},2020/6/11,2020/6/11
4343,2020/9/9,4.6,{},2020/9/9,2020/9/9
71250,2021/7/17,17.5,{},2021/7/17,2021/7/17
18269,2020/9/14,8.68,{},2020/10/25,2020/10/25
14920,2021/1/3,39.6,{"2021-01-13": "39.3"},2021/1/15,2021/1/15
60829,2021/4/10,6.85,{"2021-04-20": "6.55"},2021/4/25,2021/4/25
18396,2020/8/8,15.8,{},2020/8/12,2020/8/12
16035,2020/3/5,5.5,{},2020/5/1,2020/5/1
68448,2020/6/13,28.8,"{""2020-06-14"": ""28"", ""2020-06-22"": ""27.8""}",2020/6/27,2020/6/27
10877,2020/8/8,7.3,{},2020/9/19,2020/9/19
1444,2021/4/12,1.95,{"2021-05-08": "1.24"},2021/7/5,2021/7/5
8221,2020/9/16,7.5,{},2020/9/18,2020/9/18
67382,2021/3/11,38.5,{},2021/3/12,2021/3/12
21509,2020/5/20,3.4,{"2020-07-05": "2.98"},2020/7/13,2020/7/13
41019,2020/4/16,5.88,{"2020-04-25": "5.18"},2020/4/29,2020/4/29
5878,2020/8/30,15.46,{},2020/9/4,2020/9/4
1306,2021/7/5,2,{"2021-07-11": "1.35"},2021/7/12,2021/7/12
4031,2020/8/6,19,{"2020-08-13": "18.8799"},2020/9/2,2020/9/2
14172,2020/11/8,70.6,{"2020-11-13": "71.6"},2020/11/17,2020/11/17
